Item ID,Name,Category,Description,Variant 1 - Name,Variant 1 - Price,Variant 1 - SKU,Variant 2 - Name,Variant 2 - Price,Variant 2 - SKU,Variant 3 - Name,Variant 3 - Price,Variant 3 - SKU,Tax - Moms (25%)
,Sennheiser Momentum I MKII Brown til Apple,HHMS,Sennheiser Momentum I MKII Brown til Apple,Sennheiser Momentum I MKII Brown til Apple,.000000,,,,,,,,Y
,Sennheiser Momentum G MKII Ivory til Android/Samsung,HHMS,Sennheiser Momentum G MKII Ivory til Android/Samsung,Sennheiser Momentum G MKII Ivory til Android/Samsung,.000000,,,,,,,,Y
,Sennheiser Momentum G MKII Black til Android/Samsung,HHMS,Sennheiser Momentum G MKII Black til Android/Samsung,Sennheiser Momentum G MKII Black til Android/Samsung,.000000,,,,,,,,Y
,Sennheiser Momentum I MKII Black til Apple,HHMS,Sennheiser Momentum I MKII Black til Apple,Sennheiser Momentum I MKII Black til Apple,.000000,,,,,,,,Y
,Sennheiser Momentum On-Ear G Ivory MKII til Android/Samsung,HHMS,Sennheiser Momentum On-Ear G Ivory MKII til Android/Samsung,Sennheiser Momentum On-Ear G Ivory MKII til Android/Samsung,.000000,,,,,,,,Y
,Sennheiser Momentum On-Ear G Black MKII til Android/Samsung,HHMS,Sennheiser Momentum On-Ear G Black MKII til Android/Samsung,Sennheiser Momentum On-Ear G Black MKII til Android/Samsung,.000000,,,,,,,,Y
,Sennheiser Momentum On-Ear I Ivory MKII til Apple,HHMS,Sennheiser Momentum On-Ear I Ivory MKII til Apple,Sennheiser Momentum On-Ear I Ivory MKII til Apple,.000000,,,,,,,,Y
,Sennheiser Momentum On-Ear I Brown MKII til Apple,HHMS,Sennheiser Momentum On-Ear I Brown MKII til Apple,Sennheiser Momentum On-Ear I Brown MKII til Apple,.000000,,,,,,,,Y
,Sennheiser Momentum On-Ear I Black MKII til Apple,HHMS,Sennheiser Momentum On-Ear I Black MKII til Apple,Sennheiser Momentum On-Ear I Black MKII til Apple,.000000,,,,,,,,Y
,Sennheiser Momentum in-ear i Black/Chrome til Apple,HHIMS,Sennheiser Momentum in-ear i Black/Chrome til Apple,Sennheiser Momentum in-ear i Black/Chrome til Apple,.000000,,,,,,,,Y
,Sennheiser Momentum in-ear i Black til Apple,HHIMS,Sennheiser Momentum in-ear i Black til Apple,Sennheiser Momentum in-ear i Black til Apple,.000000,,,,,,,,Y
,Sennheiser Momentum in-ear G Black/Chrome til Android/Samsung,HHIMS,Sennheiser Momentum in-ear G Black/Chrome til Android/Samsung,Sennheiser Momentum in-ear G Black/Chrome til Android/Samsung,.000000,,,,,,,,Y
,Sennheiser Momentum in-ear G Black til Android/Samsung,HHIMS,Sennheiser Momentum in-ear G Black til Android/Samsung,Sennheiser Momentum in-ear G Black til Android/Samsung,.000000,,,,,,,,Y
,Sennheiser OCX 686i SPORTS til Apple,HIMS,Sennheiser OCX 686i SPORTS til Apple,Sennheiser OCX 686i SPORTS til Apple,.000000,,,,,,,,Y
