Item ID,Name,Category,Description,Variant 1 - Name,Variant 1 - Price,Variant 1 - SKU,Variant 2 - Name,Variant 2 - Price,Variant 2 - SKU,Variant 3 - Name,Variant 3 - Price,Variant 3 - SKU,Tax - Moms (25%)
,Sony MDR-ZX110 White,Hovedtelefoner Street ,Sony MDR-ZX110 White,Sony MDR-ZX110 White,159.000000,,,,,,,,Y
,Audio-Technica ATH-CKX7IS Red,Hovedtelefoner In-Ear Mikrofon Street ,Audio-Technica ATH-CKX7IS Red,Audio-Technica ATH-CKX7IS Red,.000000,,,,,,,,Y
,Audio-Technica ATH-CKX7IS Blue,Hovedtelefoner In-Ear Mikrofon Street ,Audio-Technica ATH-CKX7IS Blue,Audio-Technica ATH-CKX7IS Blue,529.000000,,,,,,,,Y
,Audio-Technica ATH-CKX7IS Purple,Hovedtelefoner In-Ear Mikrofon Street ,Audio-Technica ATH-CKX7IS Purple,Audio-Technica ATH-CKX7IS Purple,529.000000,,,,,,,,Y
,Audio-Technica ATH-CKX7IS Black,Hovedtelefoner In-Ear Mikrofon Street ,Audio-Technica ATH-CKX7IS Black,Audio-Technica ATH-CKX7IS Black,529.000000,,,,,,,,Y
,Audio-Technica ATH-CKX7IS White,Hovedtelefoner In-Ear Mikrofon Street ,Audio-Technica ATH-CKX7IS White,Audio-Technica ATH-CKX7IS White,529.000000,,,,,,,,Y
,Audio-Technica ATH-CKR9,HiFi Hovedtelefoner In-Ear ,Audio-Technica ATH-CKR9,Audio-Technica ATH-CKR9,1769.000000,,,,,,,,Y
,Sony MDR-XB450AP EXTRA BASS Red,Hovedtelefoner Mikrofon Street ,Sony MDR-XB450AP EXTRA BASS Red,Sony MDR-XB450AP EXTRA BASS Red,399.000000,,,,,,,,Y
,Sony MDR-XB450AP EXTRA BASS White,Hovedtelefoner Mikrofon Street ,Sony MDR-XB450AP EXTRA BASS White,Sony MDR-XB450AP EXTRA BASS White,399.000000,,,,,,,,Y
,Sony MDR-XB450AP EXTRA BASS Blue,Hovedtelefoner Mikrofon Street ,Sony MDR-XB450AP EXTRA BASS Blue,Sony MDR-XB450AP EXTRA BASS Blue,399.000000,,,,,,,,Y
,Sony MDR-XB450AP EXTRA BASS Black,Hovedtelefoner Mikrofon Street ,Sony MDR-XB450AP EXTRA BASS Black,Sony MDR-XB450AP EXTRA BASS Black,399.000000,,,,,,,,Y
,Audio-Technica ATH-MSR7NC,Hovedtelefoner Mikrofon Noise-Cancelling Street ,Audio-Technica ATH-MSR7NC,Audio-Technica ATH-MSR7NC,2799.000000,,,,,,,,Y
,Audio-Technica ATH-MSR7 Gun Metal,Hovedtelefoner Mikrofon Street ,Audio-Technica ATH-MSR7 Gun Metal,Audio-Technica ATH-MSR7 Gun Metal,1899.000000,,,,,,,,Y
,Audio-Technica ATH-MSR7 Black,Hovedtelefoner Mikrofon Street ,Audio-Technica ATH-MSR7 Black,Audio-Technica ATH-MSR7 Black,1899.000000,,,,,,,,Y
,Skullcandy UPROAR Wireless Ill Famed/Red/Black w/Mic3,Mikrofon Street Wireless ,Skullcandy UPROAR Wireless Ill Famed/Red/Black w/Mic3,Skullcandy UPROAR Wireless Ill Famed/Red/Black w/Mic3,449.000000,,,,,,,,Y
,Skullcandy HESH 2.0 Wireless Camo/Olive w/Mic 3,Hovedtelefoner Mikrofon Street Wireless ,Skullcandy HESH 2.0 Wireless Camo/Olive w/Mic 3,Skullcandy HESH 2.0 Wireless Camo/Olive w/Mic 3,699.000000,,,,,,,,Y
,Audio-Technica ATH-SPORT3 Red,Hovedtelefoner In-Ear Sport ,Audio-Technica ATH-SPORT3 Red,Audio-Technica ATH-SPORT3 Red,489.000000,,,,,,,,Y
,Sony MDR-ZX110NA Noise Cancelling White,Hovedtelefoner Mikrofon Noise-Cancelling ,Sony MDR-ZX110NA Noise Cancelling White,Sony MDR-ZX110NA Noise Cancelling White,449.000000,,,,,,,,Y
,Sony MDR-ZX110NA Noise Cancelling Black,Hovedtelefoner Mikrofon Noise-Cancelling ,Sony MDR-ZX110NA Noise Cancelling Black,Sony MDR-ZX110NA Noise Cancelling Black,449.000000,,,,,,,,Y
,Sony MDR-ZX310 Blue,Hovedtelefoner Street ,Sony MDR-ZX310 Blue,Sony MDR-ZX310 Blue,249.000000,,,,,,,,Y
,Sony MDR-ZX310 Red,Hovedtelefoner Street ,Sony MDR-ZX310 Red,Sony MDR-ZX310 Red,249.000000,,,,,,,,Y
,Sony MDR-ZX310 Black,Hovedtelefoner Street ,Sony MDR-ZX310 Black,Sony MDR-ZX310 Black,249.000000,,,,,,,,Y
,Sony MDR-ZX310 White,Hovedtelefoner Street ,Sony MDR-ZX310 White,Sony MDR-ZX310 White,249.000000,,,,,,,,Y
,Skullcandy UPROAR Wireless Explore Evergreen/Orange/Cream w/Mic3,Mikrofon Street Wireless ,Skullcandy UPROAR Wireless Explore Evergreen/Orange/Cream w/Mic3,Skullcandy UPROAR Wireless Explore Evergreen/Orange/Cream w/Mic3,449.000000,,,,,,,,Y
,Sony MDR-ZX660AP Orange,Hovedtelefoner Mikrofon Street ,Sony MDR-ZX660AP Orange,Sony MDR-ZX660AP Orange,519.000000,,,,,,,,Y
,Sony MDR-ZX660AP Green,Hovedtelefoner Mikrofon Street ,Sony MDR-ZX660AP Green,Sony MDR-ZX660AP Green,519.000000,,,,,,,,Y
,Sony MDR-ZX660AP Creme,Hovedtelefoner Mikrofon Street ,Sony MDR-ZX660AP Creme,Sony MDR-ZX660AP Creme,519.000000,,,,,,,,Y
,Sony MDR-ZX660AP Blue,Hovedtelefoner Mikrofon Street ,Sony MDR-ZX660AP Blue,Sony MDR-ZX660AP Blue,519.000000,,,,,,,,Y
,Sony MDR-ZX660AP Black,Hovedtelefoner Mikrofon Street ,Sony MDR-ZX660AP Black,Sony MDR-ZX660AP Black,519.000000,,,,,,,,Y
,Sony MDR-ZX660AP White,Hovedtelefoner Mikrofon Street ,Sony MDR-ZX660AP White,Sony MDR-ZX660AP White,519.000000,,,,,,,,Y
,Sony MDR-10RC White,Hovedtelefoner Mikrofon Street ,Sony MDR-10RC White,Sony MDR-10RC White,999.000000,,,,,,,,Y
,Sony MDR-10RC Black,Hovedtelefoner Mikrofon Street ,Sony MDR-10RC Black,Sony MDR-10RC Black,999.000000,,,,,,,,Y
